Title,Link,authors,year,abstract_text,source_url,title
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"Alexander Andreev-Andrievskiy, Anfisa Popova, Richard Boyle, Jeffrey Alberts, Boris Shenkman, Olga Vinogradova, Oleg Dolgov, Konstantin Anokhin, Darya Tsvirkun, Pavel Soldatov, Tatyana Nemirovskaya, Eugeniy Ilyin, Vladimir Sychev",2014,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Mice in Bion-M 1 Space Mission: Training and Selection
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Elizabeth A Blaber, Natalya Dvorochkin, Chialing Lee, Joshua S Alwood, Rukhsana Yousuf, Piero Pianetta, Ruth K Globus, Brendan P Burns, Eduardo A C Almeida",2013,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21"
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"Nelson Adolfo López Garzón, María Virginia Pinzón-Fernández, Jhan S Saavedra T, Humberto A Nati-Castillo, Marlon Arias-Intriago, Camila Salazar-Santoliva, Juan S Izquierdo-Condoy",2025,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"Takanobu Mashiko, Koji Kanayama, Natsumi Saito, Takako Shirado, Rintaro Asahi, Masanori Mori, Kotaro Yoshimura",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"Macarena Parra, Jimmy Jung, Travis D Boone, Luan Tran, Elizabeth A Blaber, Mark Brown, Matthew Chin, Tori Chinn, Jacob Cohen, Robert Doebler, Dzung Hoang, Elizabeth Hyde, Matthew Lera, Louie T Luzod, Mark Mallinson, Oana Marcu, Youssef Mohamedaly, Antonio J Ricco, Kathleen Rubins, Gregory D Sgarlato, Rafael O Talavera, Peter Tong, Eddie Uribe, Jeffrey Williams, Diana Wu, Rukhsana Yousuf, Charles S Richey, Julie Schonfeld, Eduardo A C Almeida",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"Akhilesh Kumar, Candice G T Tahimic, Eduardo A C Almeida, Ruth K Globus",2021,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"Joshua S Alwood, Luan H Tran, Ann-Sofie Schreurs, Yasaman Shirazi-Fard, Akhilesh Kumar, Diane Hilton, Candice G T Tahimic, Ruth K Globus",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"Joshua S Alwood, April E Ronca, Richard C Mains, Mark J Shelhamer, Jeffrey D Smith, Thomas J Goodwin",2017,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"Megan M Pendleton, Saghi Sadoughi, Alfred Li, Grace D O'Connell, Joshua S Alwood, Tony M Keaveny",2018,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"Megan M Pendleton, Shannon R Emerzian, Jennifer Liu, Simon Y Tang, Grace D O’Connell, Joshua S Alwood, Tony M Keaveny",2019,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae
