title,authors,year,drive_link,file_id,original_filename
pone.0104830,N/A,N/A,https://drive.google.com/file/d/1oPFToPvRUshBX0vSwTPsgg8W6A6P6psJ/view?usp=drivesdk,1oPFToPvRUshBX0vSwTPsgg8W6A6P6psJ,pone.0104830.pdf
fphys 09 01469,N/A,N/A,https://drive.google.com/file/d/1LsvVDpMzdyrSaPYe2_uSPozt2miYsBoI/view?usp=drivesdk,1LsvVDpMzdyrSaPYe2_uSPozt2miYsBoI,fphys-09-01469.pdf
pone.0318143,N/A,N/A,https://drive.google.com/file/d/1z-dJiHGoIilVYyYquGGdDmGJyxNwPMzq/view?usp=drivesdk,1z-dJiHGoIilVYyYquGGdDmGJyxNwPMzq,pone.0318143.pdf
41598 2020 Article 69188,N/A,2020,https://drive.google.com/file/d/1zcdSEHAvAtFH3i_QCFENQW1NdL8Xai91/view?usp=drivesdk,1zcdSEHAvAtFH3i_QCFENQW1NdL8Xai91,41598_2020_Article_69188.pdf
40168 2024 Article 1916,N/A,2024,https://drive.google.com/file/d/190OaaverxWFeDUiENNCWrZap0CUO1rAm/view?usp=drivesdk,190OaaverxWFeDUiENNCWrZap0CUO1rAm,40168_2024_Article_1916.pdf
41467 2024 Article 49211,N/A,2024,https://drive.google.com/file/d/1JaP3arKrBWjz74IJXUxUlAu9st_41C16/view?usp=drivesdk,1JaP3arKrBWjz74IJXUxUlAu9st_41C16,41467_2024_Article_49211.pdf
1707,N/A,N/A,https://drive.google.com/file/d/1oIi3HG-tZqXrvpQa2SvjHwNYxzmt1jDT/view?usp=drivesdk,1oIi3HG-tZqXrvpQa2SvjHwNYxzmt1jDT,1707.pdf
41467 2023 Article 37070,N/A,2023,https://drive.google.com/file/d/1aHu4zxfGncyLuveF-WkwDNkcZwsUo31V/view?usp=drivesdk,1aHu4zxfGncyLuveF-WkwDNkcZwsUo31V,41467_2023_Article_37070.pdf
life 11 01010,N/A,N/A,https://drive.google.com/file/d/1vDUc3nVMZpo-VpaCLVCec0Y24y963ccz/view?usp=drivesdk,1vDUc3nVMZpo-VpaCLVCec0Y24y963ccz,life-11-01010.pdf
srep34791,N/A,N/A,https://drive.google.com/file/d/1R4jHzVNrhEW4N2IpoE4tJaKDKpMCJVji/view?usp=drivesdk,1R4jHzVNrhEW4N2IpoE4tJaKDKpMCJVji,srep34791.pdf
ijms 18 02117,N/A,N/A,https://drive.google.com/file/d/16eXX6xnBrKT47X0ICDI-J4Q59nKeeyJ_/view?usp=drivesdk,16eXX6xnBrKT47X0ICDI-J4Q59nKeeyJ_,ijms-18-02117.pdf
srep01494,N/A,N/A,https://drive.google.com/file/d/1qdsfjpAdjt7Dm8oWDVRKZ2wgWQeK4JgT/view?usp=drivesdk,1qdsfjpAdjt7Dm8oWDVRKZ2wgWQeK4JgT,srep01494.pdf
ijms 20 04094,N/A,N/A,https://drive.google.com/file/d/10IFHfpwaXYtoRXpqOjmsjFqksNv_UYVn/view?usp=drivesdk,10IFHfpwaXYtoRXpqOjmsjFqksNv_UYVn,ijms-20-04094.pdf
main (4),N/A,N/A,https://drive.google.com/file/d/187Moh7jJ88EbOFfxv53aqpz0XGXS36Nt/view?usp=drivesdk,187Moh7jJ88EbOFfxv53aqpz0XGXS36Nt,main (4).pdf
40168 2023 Article 1545,N/A,2023,https://drive.google.com/file/d/1zx8RLQGOJX3T8O_1T5Hh8thHJdmYwEVV/view?usp=drivesdk,1zx8RLQGOJX3T8O_1T5Hh8thHJdmYwEVV,40168_2023_Article_1545.pdf
pone.0017710,N/A,N/A,https://drive.google.com/file/d/1iIjRq9mdG5Oz05p4jjnZ_kG1pZiMs-VI/view?usp=drivesdk,1iIjRq9mdG5Oz05p4jjnZ_kG1pZiMs-VI,pone.0017710.pdf
JBM4 1 66,N/A,N/A,https://drive.google.com/file/d/18sHeORMdp64l8tWa-KlCFeHe08cGWQiL/view?usp=drivesdk,18sHeORMdp64l8tWa-KlCFeHe08cGWQiL,JBM4-1-66.pdf
npjmgrav20157,N/A,2015,https://drive.google.com/file/d/1TYlTXVcNxKchE_Pp6bCQ-YLUO1Q1GBI9/view?usp=drivesdk,1TYlTXVcNxKchE_Pp6bCQ-YLUO1Q1GBI9,npjmgrav20157.pdf
mra.00751 21,N/A,N/A,https://drive.google.com/file/d/1uQAyl3xbVxq8iHhBOxDL11TlhDhMa7cT/view?usp=drivesdk,1uQAyl3xbVxq8iHhBOxDL11TlhDhMa7cT,mra.00751-21.pdf
ijms 22 09470,N/A,N/A,https://drive.google.com/file/d/13-IRs2x5Zg7WeGiP8VmqwkSZ4SWvkpZw/view?usp=drivesdk,13-IRs2x5Zg7WeGiP8VmqwkSZ4SWvkpZw,ijms-22-09470.pdf
elife 85193,N/A,N/A,https://drive.google.com/file/d/1C8fBxTAg33BIKbOm4bGPiwvXeTl3rftg/view?usp=drivesdk,1C8fBxTAg33BIKbOm4bGPiwvXeTl3rftg,elife-85193.pdf
JCSM 14 2613,N/A,N/A,https://drive.google.com/file/d/1PSrMHeVf3gVMfBVlAvPg_ALSV_S-I5ZL/view?usp=drivesdk,1PSrMHeVf3gVMfBVlAvPg_ALSV_S-I5ZL,JCSM-14-2613.pdf
PC TPC201500794RAR2,N/A,2015,https://drive.google.com/file/d/1SiYeISMSv98IZ_O6PC5XJaazDGujfUrE/view?usp=drivesdk,1SiYeISMSv98IZ_O6PC5XJaazDGujfUrE,PC_TPC201500794RAR2.pdf
13059 2022 Article 2824,N/A,2022,https://drive.google.com/file/d/1iXb2I_hpmazadMYsyHALXMaCfQNUc-VP/view?usp=drivesdk,1iXb2I_hpmazadMYsyHALXMaCfQNUc-VP,13059_2022_Article_2824.pdf
ijms 21 06385,N/A,N/A,https://drive.google.com/file/d/159G4DObnRnkBDs-j36TysY2Im4bnKPxc/view?usp=drivesdk,159G4DObnRnkBDs-j36TysY2Im4bnKPxc,ijms-21-06385.pdf
spectrum.01144 23,N/A,N/A,https://drive.google.com/file/d/1uZqZRVu2k2nhk_bqm_cg6o1I2ChFsgMp/view?usp=drivesdk,1uZqZRVu2k2nhk_bqm_cg6o1I2ChFsgMp,spectrum.01144-23.pdf
ijms 18 01166,N/A,N/A,https://drive.google.com/file/d/16kK-ubT8g7Glbrcdu2II8NvRC5cdDAnv/view?usp=drivesdk,16kK-ubT8g7Glbrcdu2II8NvRC5cdDAnv,ijms-18-01166.pdf
fpls 06 00969,N/A,N/A,https://drive.google.com/file/d/1mL-vPCWGahW8BlgUwvYbQUC0c5u55RAA/view?usp=drivesdk,1mL-vPCWGahW8BlgUwvYbQUC0c5u55RAA,fpls-06-00969.pdf
fpls 05 00267,N/A,N/A,https://drive.google.com/file/d/1kOiO89vYDgKJI78JchMpnw7EkXucXTVP/view?usp=drivesdk,1kOiO89vYDgKJI78JchMpnw7EkXucXTVP,fpls-05-00267.pdf
pone.0029481,N/A,N/A,https://drive.google.com/file/d/1aN3kWL7gNzpbB542QbTHNTvcN7-4uo6G/view?usp=drivesdk,1aN3kWL7gNzpbB542QbTHNTvcN7-4uo6G,pone.0029481.pdf
41522 2024 Article 545,N/A,2024,https://drive.google.com/file/d/1GKOjVvlyZQn2d75Dpi_th9rhDdHeFKa_/view?usp=drivesdk,1GKOjVvlyZQn2d75Dpi_th9rhDdHeFKa_,41522_2024_Article_545.pdf
nihms507980,N/A,N/A,https://drive.google.com/file/d/1kh22v56rDc7puLkF_hbrOJ5-EqMYZojc/view?usp=drivesdk,1kh22v56rDc7puLkF_hbrOJ5-EqMYZojc,nihms507980.pdf
metabolites 12 01205,N/A,N/A,https://drive.google.com/file/d/1dCMDYy3vqJg4zzWsfvl4wVsaNzjT1UhW/view?usp=drivesdk,1dCMDYy3vqJg4zzWsfvl4wVsaNzjT1UhW,metabolites-12-01205.pdf
